sample	transcript	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_mion_1	ENSMUST00000177034	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177053	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177056	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177068	81	1910.15387467286	794.720997185217	0.538105268981481	200	1	0.000681222600296162	0.000681222600296162
mmu_dRNA_3T3_mion_1	ENSMUST00000177074	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177083	37	1785.88830273745	945.871671031158	0.548175572169988	310	1	0.000822046681638586	0.000822046681638586
mmu_dRNA_3T3_mion_1	ENSMUST00000177113	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177137	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177145	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177150	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177155	16	1971.22452875833	642.207534948115	0.501504580951379	405	1	0.000642332226385533	0.000642332226385533
mmu_dRNA_3T3_mion_1	ENSMUST00000177162	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177163	2119	486.609266270746	60.7383109145335	0.377434221311858	162	1	0.00186764838538345	0.00186764838538345
mmu_dRNA_3T3_mion_1	ENSMUST00000177173	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177177	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177181	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177201	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177205	27	1047.97424102434	126.984585321421	0.501734921739404	270	1	0.00129434086288354	0.00129434086288354
mmu_dRNA_3T3_mion_1	ENSMUST00000177207	61	986.098396028845	327.242312633882	0.511655885103648	231	0	0.00138754944384329	0.00138754944384329
mmu_dRNA_3T3_mion_1	ENSMUST00000177213	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177216	17	1353.72342422727	510.21192812056	0.519939658894526	400	1	0.00113562427175448	0.00113562427175448
mmu_dRNA_3T3_mion_1	ENSMUST00000177236	20	1799.5041274284	984.816766409908	0.557272286899142	204	1	0.000788919709469041	0.000788919709469041
mmu_dRNA_3T3_mion_1	ENSMUST00000177258	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177289	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177292	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177302	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177359	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177371	93	2189.99651501944	1349.42310647613	0.567048989683613	203	1	0.000659150700808381	0.000659150700808381
mmu_dRNA_3T3_mion_1	ENSMUST00000177374	37	2208.81138921029	938.618876248892	0.541033562940114	185	1	0.000582469573163737	0.000582469573163737
mmu_dRNA_3T3_mion_1	ENSMUST00000177390	11	1576.04993788999	699.694614176618	0.534363654104306	478	1	0.00104512430311456	0.00104512430311456
mmu_dRNA_3T3_mion_1	ENSMUST00000177417	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177421	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177457	38	2045.60022605073	1331.04388343035	0.587424037723106	294	1	0.000812854473673498	0.000812854473673498
mmu_dRNA_3T3_mion_1	ENSMUST00000177497	39	900.303509498187	411.446435517817	0.552551937548544	209	1	0.0017863300852516	0.0017863300852516
mmu_dRNA_3T3_mion_1	ENSMUST00000177498	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000177501	17	1125.05974465432	63.8585031965643	0.744051806451661	337	1	0.00368885821594522	0.00368885821594522
mmu_dRNA_3T3_mion_1	ENSMUST00000177517	NA	NA	NA	NA	NA	0	NA	NA
