transcript,name,gene,n_readlength,maxmean_readlength,sigma_readlength,prop_readlength,min_readlength,n_polyA,maxmean_polyA,sigma_polyA,prop_polyA,min_polyA,t5,transcript_id,hist5p_0,hist5p_1,hist5p_2,hist5p_3,hist5p_4,hist5p_5,hist5p_6,hist5p_7,hist5p_8,hist5p_9,hist3p_0,hist3p_1,hist3p_2,hist3p_3,hist3p_4,hist3p_5,hist3p_6,hist3p_7,hist3p_8,hist3p_9
ENSMUST00000069486,Gemin6,ENSMUSG00000055760,91.0,1124.5248535753,31.7557847498852,0.664673902640294,163.0,62.0,128.454045929231,81.8790055871993,0.582317851706313,7.66,2.19482398067982,ENSMUST00000069486,0.3736263736263736,0.0879120879120879,0.0989010989010989,0.0439560439560439,0.0769230769230769,0.1098901098901098,0.0439560439560439,0.1318681318681318,0.0329670329670329,0.0,0.0,0.0,0.0,0.0109890109890109,0.0109890109890109,0.0,0.0219780219780219,0.0439560439560439,0.0,0.912087912087912
ENSMUST00000154584,Eef1d,ENSMUSG00000055762,1406.0,1060.63544712753,124.515859232727,0.337223545274544,142.0,1028.0,115.294122993485,57.5996262194467,0.531817174280572,9.13,10.0346830510675,ENSMUST00000154584,0.7844950213371266,0.069701280227596,0.0647226173541963,0.0469416785206258,0.0170697012802275,0.0085348506401137,0.0085348506401137,0.0,0.0,0.0,0.0007112375533428,0.0028449502133712,0.003556187766714,0.0021337126600284,0.933854907539118,0.0021337126600284,0.0,0.0547652916073968,0.0,0.0
ENSMUST00000212072,Zfp1,ENSMUSG00000055835,26.0,1522.14951877411,534.096477623318,0.548108245387221,238.0,18.0,208.620554481523,25.9269689541833,0.660708514104897,19.43,0.30841937353557097,ENSMUST00000212072,0.2727272727272727,0.0454545454545454,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSMUST00000069718,Fto,ENSMUSG00000055932,375.0,1620.7547891102,924.353160336967,0.562002152747534,168.0,238.0,144.548286218224,63.9847730540568,0.496774704767946,5.81,3.8314839994335501,ENSMUST00000069718,0.0346666666666666,0.016,0.0293333333333333,0.0346666666666666,0.064,0.0773333333333333,0.0986666666666666,0.1866666666666666,0.2666666666666666,0.192,0.0,0.0,0.0026666666666666,0.0,0.0,0.0,0.0026666666666666,0.0026666666666666,0.0026666666666666,0.9893333333333332
ENSMUST00000069747,Emc7,ENSMUSG00000055943,416.0,1040.19510041197,267.305423318933,0.434287954815639,133.0,297.0,141.661600857405,60.1957114753615,0.521764181088915,5.56,6.6117984270999903,ENSMUST00000069747,0.6586538461538461,0.3028846153846153,0.0,0.0024038461538461,0.0,0.0,0.0024038461538461,0.0024038461538461,0.0120192307692307,0.0192307692307692,0.0048076923076923,0.9567307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384
ENSMUST00000100507,Eif3b,ENSMUSG00000056076,1843.0,1503.81087312245,771.315700047781,0.543592961401289,141.0,1304.0,127.748916842706,63.0434675727688,0.521764684317359,7.63,8.6789389343574594,ENSMUST00000100507,0.0412371134020618,0.0358111774281063,0.0298426478567552,0.0444926749864351,0.0618556701030927,0.0954964731416169,0.1275094953879544,0.2669560499186109,0.1882799782962561,0.1085187194791101,0.0005425935973955,0.0,0.0010851871947911,0.0,0.0010851871947911,0.0005425935973955,0.0010851871947911,0.0037981551817688,0.0021703743895822,0.9896907216494846
ENSMUST00000069994,St3gal5,ENSMUSG00000056091,24.0,945.622004469977,581.206348983476,0.594807078747262,189.0,13.0,154.303684181083,58.2121146804082,0.538190587342642,20.41,3.6069373617270499,ENSMUST00000069994,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0416666666666666,0.0,0.0833333333333333,0.7916666666666666
ENSMUST00000070116,Socs6,ENSMUSG00000056153,111.0,1508.91830768951,843.000078035117,0.579045801078634,198.0,67.0,137.861882466885,67.9288650273844,0.553372300844339,8.93,0.178779954655165,ENSMUST00000070116,0.072072072072072,0.063063063063063,0.072072072072072,0.1261261261261261,0.072072072072072,0.027027027027027,0.045045045045045,0.09009009009009,0.1531531531531531,0.2792792792792792,0.0,0.0,0.0,0.009009009009009,0.3783783783783784,0.018018018018018,0.027027027027027,0.018018018018018,0.0,0.5495495495495496
ENSMUST00000209469,Cfl1,ENSMUSG00000056201,11875.0,1180.38897294091,63.7708268463699,0.56549622537881,118.0,8115.0,119.412366820192,56.8920113648134,0.507814045623071,1.03,6.0331694810377599,ENSMUST00000209469,0.4865684210526316,0.1466947368421052,0.1546947368421052,0.1221052631578947,0.0878315789473684,0.0001684210526315,0.0003368421052631,8.421052631578948e-05,0.0004210526315789,0.0010947368421052,0.0003368421052631,0.0016,0.0010105263157894,0.0034526315789473,0.0817684210526315,0.9082947368421052,8.421052631578948e-05,0.0001684210526315,0.0002526315789473,0.0030315789473684
ENSMUST00000070173,Pgpep1,ENSMUSG00000056204,124.0,1350.4648795442,545.128158513923,0.517511608614648,181.0,89.0,144.21353440974,57.3421941888414,0.486055619141292,4.29,1.4837319832482301,ENSMUST00000070173,0.3548387096774194,0.1854838709677419,0.2258064516129032,0.0483870967741935,0.0241935483870967,0.0,0.0080645161290322,0.0161290322580645,0.0403225806451612,0.0967741935483871,0.0,0.0080645161290322,0.5806451612903226,0.0080645161290322,0.2258064516129032,0.0080645161290322,0.0,0.0,0.0,0.1693548387096774
